"C_EIN"|"C_Org_Name"|"ACTIVITY_ID"|"XML_DOCUMENT_ID"|"REGION"|"NUM_OFFICES"|"NUM_EMP"|"ACTIVITIES"|"ACTIVITY_TYPE"|"TOT_EXPENDITURES"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"49459"|"1774757"|"South America"|""|""|"Program Services"|"STUDENT RECRUITING"|"7365.0000"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"49460"|"1774757"|"East Asia and the Pacific"|""|""|"Fundraising"|""|"80645.0000"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"49461"|"1774757"|"Europe (Including Iceland and Greenland)"|""|""|"Fundraising"|""|"8168.0000"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"49462"|"1774757"|"North America"|""|""|"Fundraising"|""|"4177.0000"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"49463"|"1774757"|"Central America and the Caribbean"|""|""|"Investments"|""|"177061854.0000"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"49464"|"1774757"|"Europe (Including Iceland and Greenland)"|""|""|"Investments"|""|"31491342.0000"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"49465"|"1774757"|"South Asia"|""|""|"Send agents to seminar"|""|"4414.0000"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"49466"|"1774757"|"East Asia and the Pacific"|""|""|"Send agents to seminar"|""|"11173.0000"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"49467"|"1774757"|"Sub-Saharan Africa"|""|""|"Send agents to seminar"|""|"3523.0000"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"49468"|"1774757"|"Middle East and North Africa"|""|""|"Program Services"|"Prof Development"|"68607.0000"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"49469"|"1774757"|"Europe (Including Iceland and Greenland)"|""|""|"Program Services"|"Student Programs"|"11388.0000"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"49470"|"1774757"|"Central America and the Caribbean"|""|""|"Program Services"|"Student Programs"|"24431.0000"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"49471"|"1774757"|"East Asia and the Pacific"|""|""|"Program Services"|"Student Programs"|"11462.0000"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"49472"|"1774757"|"East Asia and the Pacific"|""|""|"Program Services"|"Conference"|"9086.0000"
"01-0581980"|"GEDE FOUNDATION"|"49791"|"1777086"|"SUB-SAHARAN AFRICA"|"5"|"24"|"PROGRAM SERVICES, FUNDRAISING, GRANTS TO RECIPIENTS"|"TREATMENT AND CARE FOR PEOPLE LIVING WITH HIV/AIDS, MALARIA AND TB, EDUCATION AND TRAINING"|"913700.0000"
"01-0681969"|"AMERICAN FRIENDS OF YESHIVA ZICHRON DAVID"|"49792"|"1777088"|"MIDDLE EAST"|""|""|"GRANTS TO RECIPIENTS"|"GRANTS"|"137977.0000"
"01-0775179"|"ECOM FOUNDATION FOR DEVELOPMENT OF ORIGIN RESOURCES"|"49793"|"1777090"|"CENTRAL AMERICA AND THE CARIBBEAN"|""|""|"GRANTS TO RECIPIENTS"|""|"71650.0000"
"01-0775179"|"ECOM FOUNDATION FOR DEVELOPMENT OF ORIGIN RESOURCES"|"49794"|"1777090"|"SUB-SAHARAN AFRICA - ANGOLA"|""|""|"GRANTS TO RECIPIENTS"|""|"231353.0000"
"01-0775179"|"ECOM FOUNDATION FOR DEVELOPMENT OF ORIGIN RESOURCES"|"49795"|"1777090"|"SOUTH ASIA - AFGHANISTAN, BANGLADESH"|""|""|"GRANTS TO RECIPIENTS"|""|"10112.0000"
"01-0518193"|"ENVIRONMENT NORTHEAST"|"50698"|"1781421"|"CANADA"|"1"|"1"|"PROGRAM SERVICES"|"ENVIRONMENTAL RESEARCH"|"353551.0000"
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"59572"|"1781423"|"Central America and the Caribbean"|""|""|"Program Services"|"FINANCIAL VEHICLE"|"15506859.0000"
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"59573"|"1781423"|"Central America and the Caribbean"|""|""|"Investments"|""|"1197785.0000"
"01-0531683"|"RESOURCES FIRST FOUNDATION"|"50906"|"1783162"|"SUB-SAHARAN AFRICA"|"0"|"0"|"GRANTS TO RECIPIENTS LOCATED IN THE REGION"|""|"196456.0000"
"01-0808098"|"Independent World Television Inc"|"50907"|"1783163"|"North Amenca"|"1"|"5"|"conduct independent jouranlism"|""|"417000.0000"
"01-0608595"|"American Caribbean Experience, INC"|"51807"|"1784999"|"Central America & The Caribbean"|"1"|"10"|"Program Services"|"Education & Training"|"868010.0000"
"01-0773957"|"GIFTS OF LOVE INTERNATIONAL"|"53401"|"1816896"|"GUATEMALA"|"0"|"1"|"PROGRAM SERVICESPROGRAM SERVICE"|"TRAIN AND SUPPORT MINISTERS AND MISSIONARIES ASSIST SUPPORTING AND BUILDING ORPHANAGES"|"517891.0000"
"01-0593565"|"THE ONE CAMPAIGN"|"56481"|"1857752"|"EUROPE (INCLUDING ICELAND & GREENLAND)"|"4"|"36"|"PROGRAM SERVICES"|"REGION EUROPE (INCLUDING ICELAND & GREENLAND)"|"8669966.0000"
"01-0593565"|"THE ONE CAMPAIGN"|"56482"|"1857752"|"SUB-SAHARAN AFRICA"|"1"|"6"|"PROGRAM SERVICES"|"REGION EUROPE (INCLUDING ICELAND & GREENLAND)"|"1942990.0000"
"01-0593565"|"THE ONE CAMPAIGN"|"56483"|"1857752"|"SUB-SAHARAN AFRICA"|"0"|"0"|"GRANTS TO RECIPIENTS LOCATED IN REGION"|""|"100000.0000"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"58163"|"1860547"|"CENTRAL AMERICA ANDTHE CARIBBEAN -"|"0"|"0"|"INVESTMENTS"|""|"208769650.0000"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"58164"|"1860547"|"EAST ASIA ANDTHE PACIFIC -"|"0"|"0"|"INVESTMENTS"|""|"4458465.0000"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"58165"|"1860547"|"EUROPE (INCLUDING ICELAND & GREENLAND)-"|"0"|"0"|"INVESTMENTS"|""|"16983479.0000"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"58166"|"1860547"|"NORTH AMERICA - CANADA AND MEXICO, BUT"|"0"|"0"|"INVESTMENTS"|""|"5348694.0000"
"01-0391479"|"Maine Community Foundation Inc"|"58425"|"1862304"|"East Asia and the Pacific"|"0"|"0"|"Grants to US organizations for recipients located in the region"|""|"12780.0000"
"01-0391479"|"Maine Community Foundation Inc"|"58426"|"1862304"|"Europe (Including Iceland & Greenland)"|"0"|"0"|"Grants to US organizations for recipients located in the region"|""|"2050.0000"
"01-0391479"|"Maine Community Foundation Inc"|"58427"|"1862304"|"Central America and the Caribbean"|"0"|"0"|"Grants to US organizations for recipients located in the region"|""|"88048.0000"
"01-0391479"|"Maine Community Foundation Inc"|"58428"|"1862304"|"Sub-Saharan Africa"|"0"|"0"|"Grants to US organizations for recipients located in the region"|""|"31414.0000"
"01-0391479"|"Maine Community Foundation Inc"|"58429"|"1862304"|"South America"|"0"|"0"|"Grants to US organizations for recipients located in the region"|""|"226000.0000"
"01-0391479"|"Maine Community Foundation Inc"|"58430"|"1862304"|"Central America and the Caribbean"|"0"|"0"|"Investments"|""|"36636432.0000"
